time,open,high,low,close,Resistance,Support,Break,Break,Break,Break,Point of Control,Value Area Low,Value Area High,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,SIGNAL,MACD,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Plot
1643846400,38019.76819063636,38019.76819063636,36264.55,36975.225,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,1624.40014671,2283.863542824165,40059.54883333338,40666.23360000006,NaN,NaN,NaN,-6638.512238077085,-6742.788379785015,33.82071150264984,31.78297999140767,NaN,NaN,-1679.6855274672992,0
1643932800,37497.49659531818,41760.39,37064.28,39433.7475,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,3901.59890405,2298.733871693054,39886.23025000004,40390.191900000056,NaN,NaN,NaN,-6674.902812348052,-6619.236487201662,48.04164487073441,32.08454670074743,NaN,NaN,-1011.187614951351,0
1644019200,38465.62204765909,41983.12,38465.62204765909,41498.665,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,1892.23797403,2169.631463843689,39830.254333333374,40163.54550000006,NaN,NaN,NaN,-6672.966483344475,-6379.4139937794025,56.497106987349696,32.60515582197968,NaN,NaN,52.939440960451975,0
1644105600,39982.143523829545,42701.86,39982.143523829545,41921.6525,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41819.635416666664,43976.93916666666,37265.3275,854.67571444,2101.345901581308,39824.60600000004,39994.45125000006,NaN,NaN,NaN,-6636.870522667861,-6128.5442202278355,58.00472693663786,33.10793024416436,NaN,NaN,1111.9412934910815,0
1644192000,40951.898011914775,44524.18,40951.898011914775,43123.8925,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41871.92875,44041.9525,37290.7675,2601.46944039,2068.795929578134,39877.90358333338,39895.708600000056,NaN,NaN,NaN,-6560.736445390241,-5823.549262558598,62.03224065031476,33.79577960495295,NaN,NaN,2270.6701250000187,0
1644278400,42037.89525595739,45501,42037.89525595739,44047.3375,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41579.0375,44455.14333333333,37134.14666666667,2591.80146351,2082.6448372748005,39949.734666666714,39873.745766666725,NaN,NaN,NaN,-6446.72063678659,-5485.971590634625,64.82286648010265,34.604702132122156,NaN,NaN,3447.7677091875294,0
1644364800,43042.616377978695,44865.72,43042.616377978695,44140.877499999995,52098.6,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41579.0375,44455.14333333333,37134.14666666667,1625.88352507,2083.0805168284514,40041.80850000004,39904.861416666725,NaN,NaN,NaN,-6301.818863204798,-5166.832430370378,65.10266787997509,35.5720813209663,NaN,NaN,4526.713819267897,0
1644451200,43591.746938989345,45850,43209.07,44252.4775,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37250.48,2692.84357502,2084.7853346832135,40108.498833333375,39960.510316666725,NaN,NaN,NaN,-6128.475750301845,-4863.830916848172,65.45570251384953,36.654109289444136,NaN,NaN,5285.138986491118,0
1644537600,43922.11221949467,43969.72,41983.12,42974.795,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37250.48,2170.4755638,2076.294931420515,40095.18891666671,40014.626900000054,NaN,NaN,NaN,-5936.225441957149,-4655.249597428461,58.196849588582786,37.59659199050851,NaN,NaN,5436.235065321485,0
1644624000,43448.45360974733,43448.45360974733,41740.06,42351.8475,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37250.48,892.34533043,2069.458515080991,40062.88141666671,40051.622466666726,NaN,NaN,NaN,-5733.928538497235,-4495.018032945998,54.994610019891844,38.48076504882598,NaN,NaN,5338.399664687566,0
1644710400,42900.15055487367,42900.15055487367,41882.54,42243.14,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37250.48,515.45574228,2058.0564096225785,40046.54483333337,40070.98450000006,NaN,NaN,NaN,-5519.076206068992,-4349.403354978698,54.43175130311082,39.28116031359278,NaN,NaN,5056.138254232217,0
1644796800,42571.64527743684,42871.68,41575,42266.3775,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1270.88651697,2025.2538475274991,40018.7371666667,40066.37023333339,NaN,NaN,NaN,-5288.795350692285,-4209.698970641228,54.538862321220996,40.11847963387896,NaN,NaN,4784.153105357162,0
1644883200,42419.01138871842,44785.66,42419.01138871842,43601.3425,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1774.21019854,2021.3115554203562,40036.25641666671,40051.92175000005,NaN,NaN,NaN,-5050.740006180891,-4000.627697576332,60.31065707023594,40.958608005697286,NaN,NaN,4754.436788392876,0
1644969600,43010.176944359206,44590.75,43010.176944359206,44098.95250000001,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1251.8465942,2000.0095678744833,40088.349666666705,40050.55390000006,NaN,NaN,NaN,-4814.151687638285,-3776.9424898107245,62.2353436542096,41.666069966952556,NaN,NaN,4632.606255357161,0
1645056000,43554.56472217961,44204.78,40088.88,42187.815,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2438.13456297,2015.5949219214674,40089.753500000035,40055.92831666672,NaN,NaN,NaN,-4591.371817019796,-3677.9656434244607,51.8380106284889,42.0816183768091,NaN,NaN,4113.220465178591,0
1645142400,42871.189861089806,42871.189861089806,39450,40243.99,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2212.7221501,2017.7447934025786,40032.91508333337,40053.202366666716,NaN,NaN,NaN,-4397.762120854398,-3693.8426047392204,43.81936759103991,42.32596664430643,NaN,NaN,3258.142817857163,0
1645228800,41557.5899305449,41557.5899305449,39587.08,40044.03,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,695.654296,2015.6536910759119,39979.86533333337,40045.42800000005,NaN,NaN,NaN,-4236.674104954086,-3714.0034157311893,43.08110638079055,42.483964526779,NaN,NaN,2357.051916071449,0
1645315200,40800.80996527245,40800.80996527245,37974.18,39152.08,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1283.5115474,2015.7808684808324,40004.195000000036,40039.01571666672,NaN,NaN,NaN,-4110.37449894465,-3777.536764266595,39.85548005785776,42.552551382709076,NaN,NaN,1293.4136214285916,0
1645401600,39976.444982636225,39976.444982636225,36810.72,37941.38,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,3501.42036418,2043.9618896167055,40082.5371666667,40037.853216666714,NaN,NaN,NaN,-4022.610240978295,-3898.424079218261,35.92370189490873,42.56932996224252,NaN,NaN,101.85006696430355,0
1645488000,38958.912491318115,38958.912491318115,36368.99,37534.9475,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2388.75903515,2055.303019632896,40145.556500000035,40049.01381666672,NaN,NaN,NaN,-3965.3221300660293,-4025.080377393533,34.68661707647574,42.59338349864926,NaN,NaN,-1175.682624107123,0
1645574400,38246.929995659055,39303.24,37060.16,37976.88,45850,32950.72,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1778.8436526,2062.8058436119436,40211.553166666694,40084.74143333338,NaN,NaN,NaN,-3930.1663066385595,-4108.303975243834,37.21826833100053,42.71140510031531,NaN,NaN,-2408.2930580356942,0
1645660800,38111.90499782952,39720,34324.05,37418.5475,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,6303.13618378,2135.62133055861,40234.06950000003,40135.58226666671,NaN,NaN,NaN,-3917.424111679326,-4209.239210427128,35.35378188790379,42.811154102336666,NaN,NaN,-3352.5800151785525,0
1645747200,37765.22624891476,39727.97,37765.22624891476,38837.0375,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2202.85182731,2147.6334253930545,40286.460000000036,40192.03526666671,NaN,NaN,NaN,-3917.735831253915,-4213.127885961709,43.146332093197096,43.39757292285932,NaN,NaN,-3748.1644964285533,0
1645833600,38301.13187445738,40330.99,38301.13187445738,39330.0725,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37250.48,912.7240869,2149.0568437698803,40374.17325000003,40250.362483333374,NaN,NaN,NaN,-3934.2302308324756,-4182.0660929404985,45.60084215961481,44.19359660479611,NaN,NaN,-3924.9940830356973,0
1645920000,38815.602187228695,39886.92,37015.74,38440.5,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37250.48,1701.81704307,2159.955178189087,40412.822666666696,40303.81571666671,NaN,NaN,NaN,-3972.544963652134,-4198.404550826963,42.07158364772881,44.87855511228457,NaN,NaN,-4083.0272678571237,0
1646006400,38628.05109361435,44256.08,37468.99,40655.2875,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37787.95,3160.61807044,2192.616045379404,40501.538500000024,40361.81278333337,NaN,NaN,NaN,-4009.119117345061,-4080.28133404666,52.02668594089762,45.77750554719218,NaN,NaN,-3657.4283205356965,0
